"id","decisionnum","deckl","deckr","pair","deckchoice","effort_type","prog_type","effchoice","progchoice"
"A11YS0T8MV3Q7C",56,"deck5","deck6","5-6",76,"MH","Prog_Prog",0,1
"A11YS0T8MV3Q7C",57,"deck4","deck5","4-5",76,"LM","Prog_Prog",0,1
"A11YS0T8MV3Q7C",58,"deck3","deck1","1-3",82,"LH","NoProg_NoProg",0,0
"A11YS0T8MV3Q7C",59,"deck4","deck6","4-6",82,"LH","Prog_Prog",1,1
"A11YS0T8MV3Q7C",60,"deck2","deck1","1-2",76,"LM","NoProg_NoProg",1,0
"A12FTSX85NQ8N9",1,"deck3","deck1","1-3",82,"LH","NoProg_NoProg",0,0
"A12FTSX85NQ8N9",2,"deck5","deck6","5-6",76,"MH","Prog_Prog",0,1
"A12FTSX85NQ8N9",3,"deck4","deck1","1-4",76,"LL","NoProg_Prog",NA,1
"A12FTSX85NQ8N9",4,"deck1","deck2","1-2",82,"LM","NoProg_NoProg",1,0
"A12FTSX85NQ8N9",5,"deck6","deck1","1-6",82,"LH","NoProg_Prog",0,0
"A12FTSX85NQ8N9",6,"deck4","deck2","2-4",76,"LM","Prog_NoProg",0,1
"A12FTSX85NQ8N9",7,"deck6","deck4","4-6",82,"LH","Prog_Prog",0,1
"A12FTSX85NQ8N9",8,"deck1","deck6","1-6",82,"LH","NoProg_Prog",1,1
"A12FTSX85NQ8N9",9,"deck3","deck2","2-3",82,"MH","NoProg_NoProg",0,0
"A12FTSX85NQ8N9",10,"deck1","deck5","1-5",82,"LM","NoProg_Prog",1,1
"A12FTSX85NQ8N9",11,"deck5","deck3","3-5",76,"MH","Prog_NoProg",0,1
"A12FTSX85NQ8N9",12,"deck6","deck3","3-6",82,"HH","NoProg_Prog",NA,0
"A12FTSX85NQ8N9",13,"deck2","deck3","2-3",76,"MH","NoProg_NoProg",0,0
"A12FTSX85NQ8N9",14,"deck2","deck6","2-6",76,"MH","NoProg_Prog",0,0
"A12FTSX85NQ8N9",15,"deck6","deck5","5-6",82,"MH","Prog_Prog",0,1
"A12FTSX85NQ8N9",16,"deck1","deck4","1-4",82,"LL","NoProg_Prog",NA,1
"A12FTSX85NQ8N9",17,"deck3","deck1","1-3",82,"LH","NoProg_NoProg",0,0
"A12FTSX85NQ8N9",18,"deck2","deck4","2-4",82,"LM","Prog_NoProg",0,1
"A12FTSX85NQ8N9",19,"deck2","deck5","2-5",82,"MM","NoProg_Prog",NA,1
"A12FTSX85NQ8N9",20,"deck4","deck1","1-4",76,"LL","NoProg_Prog",NA,1
"A12FTSX85NQ8N9",21,"deck5","deck1","1-5",82,"LM","NoProg_Prog",0,0
"A12FTSX85NQ8N9",22,"deck4","deck3","3-4",76,"LH","Prog_NoProg",0,1
"A12FTSX85NQ8N9",23,"deck2","deck4","2-4",82,"LM","Prog_NoProg",0,1
"A12FTSX85NQ8N9",24,"deck5","deck4","4-5",82,"LM","Prog_Prog",0,1
"A12FTSX85NQ8N9",25,"deck4","deck3","3-4",82,"LH","Prog_NoProg",1,0
"A12FTSX85NQ8N9",26,"deck4","deck5","4-5",76,"LM","Prog_Prog",0,1
"A12FTSX85NQ8N9",27,"deck6","deck2","2-6",82,"MH","NoProg_Prog",0,0
"A12FTSX85NQ8N9",28,"deck6","deck3","3-6",76,"HH","NoProg_Prog",NA,1
"A12FTSX85NQ8N9",29,"deck1","deck4","1-4",82,"LL","NoProg_Prog",NA,1
"A12FTSX85NQ8N9",30,"deck4","deck6","4-6",76,"LH","Prog_Prog",0,1
"A12FTSX85NQ8N9",31,"deck6","deck1","1-6",82,"LH","NoProg_Prog",0,0
"A12FTSX85NQ8N9",32,"deck5","deck4","4-5",82,"LM","Prog_Prog",0,1
"A12FTSX85NQ8N9",33,"deck5","deck2","2-5",76,"MM","NoProg_Prog",NA,1
"A12FTSX85NQ8N9",34,"deck5","deck1","1-5",76,"LM","NoProg_Prog",1,1
"A12FTSX85NQ8N9",35,"deck6","deck4","4-6",82,"LH","Prog_Prog",0,1
"A12FTSX85NQ8N9",36,"deck4","deck6","4-6",76,"LH","Prog_Prog",0,1
"A12FTSX85NQ8N9",37,"deck1","deck3","1-3",82,"LH","NoProg_NoProg",1,0
"A12FTSX85NQ8N9",38,"deck3","deck5","3-5",82,"MH","Prog_NoProg",0,1
"A12FTSX85NQ8N9",39,"deck3","deck6","3-6",76,"HH","NoProg_Prog",NA,0
"A12FTSX85NQ8N9",40,"deck3","deck2","2-3",76,"MH","NoProg_NoProg",1,0
"A12FTSX85NQ8N9",41,"deck5","deck6","5-6",76,"MH","Prog_Prog",0,1
"A12FTSX85NQ8N9",42,"deck2","deck3","2-3",76,"MH","NoProg_NoProg",0,0
"A12FTSX85NQ8N9",43,"deck2","deck5","2-5",82,"MM","NoProg_Prog",NA,1
"A12FTSX85NQ8N9",44,"deck1","deck3","1-3",82,"LH","NoProg_NoProg",1,0
"A12FTSX85NQ8N9",45,"deck4","deck5","4-5",76,"LM","Prog_Prog",0,1
"A12FTSX85NQ8N9",46,"deck3","deck5","3-5",82,"MH","Prog_NoProg",0,1
"A12FTSX85NQ8N9",47,"deck1","deck2","1-2",76,"LM","NoProg_NoProg",0,0
"A12FTSX85NQ8N9",48,"deck2","deck1","1-2",82,"LM","NoProg_NoProg",0,0
"A12FTSX85NQ8N9",49,"deck6","deck2","2-6",76,"MH","NoProg_Prog",1,1
"A12FTSX85NQ8N9",50,"deck3","deck4","3-4",82,"LH","Prog_NoProg",0,1
"A12FTSX85NQ8N9",51,"deck3","deck4","3-4",82,"LH","Prog_NoProg",0,1
"A12FTSX85NQ8N9",52,"deck6","deck5","5-6",76,"MH","Prog_Prog",1,1
"A12FTSX85NQ8N9",53,"deck2","deck1","1-2",82,"LM","NoProg_NoProg",0,0
"A12FTSX85NQ8N9",54,"deck4","deck2","2-4",76,"LM","Prog_NoProg",0,1
"A12FTSX85NQ8N9",55,"deck3","deck6","3-6",82,"HH","NoProg_Prog",NA,1
"A12FTSX85NQ8N9",56,"deck5","deck2","2-5",76,"MM","NoProg_Prog",NA,1
"A12FTSX85NQ8N9",57,"deck1","deck5","1-5",82,"LM","NoProg_Prog",1,1
"A12FTSX85NQ8N9",58,"deck1","deck6","1-6",76,"LH","NoProg_Prog",0,0
"A12FTSX85NQ8N9",59,"deck2","deck6","2-6",82,"MH","NoProg_Prog",1,1
"A12FTSX85NQ8N9",60,"deck5","deck3","3-5",76,"MH","Prog_NoProg",0,1
"A13B52O6OQBPO",1,"deck2","deck5","2-5",82,"MM","NoProg_Prog",NA,1
"A13B52O6OQBPO",2,"deck1","deck3","1-3",82,"LH","NoProg_NoProg",1,0
"A13B52O6OQBPO",3,"deck1","deck4","1-4",82,"LL","NoProg_Prog",NA,1
"A13B52O6OQBPO",4,"deck1","deck5","1-5",82,"LM","NoProg_Prog",1,1
"A13B52O6OQBPO",5,"deck4","deck5","4-5",76,"LM","Prog_Prog",0,1
"A13B52O6OQBPO",6,"deck6","deck1","1-6",76,"LH","NoProg_Prog",1,1
"A13B52O6OQBPO",7,"deck2","deck4","2-4",82,"LM","Prog_NoProg",0,1
"A13B52O6OQBPO",8,"deck5","deck2","2-5",76,"MM","NoProg_Prog",NA,1
"A13B52O6OQBPO",9,"deck1","deck6","1-6",76,"LH","NoProg_Prog",0,0
"A13B52O6OQBPO",10,"deck3","deck2","2-3",76,"MH","NoProg_NoProg",1,0
"A13B52O6OQBPO",11,"deck6","deck1","1-6",76,"LH","NoProg_Prog",1,1
"A13B52O6OQBPO",12,"deck5","deck3","3-5",76,"MH","Prog_NoProg",0,1
"A13B52O6OQBPO",13,"deck5","deck1","1-5",76,"LM","NoProg_Prog",1,1
"A13B52O6OQBPO",14,"deck3","deck6","3-6",82,"HH","NoProg_Prog",NA,1
"A13B52O6OQBPO",15,"deck4","deck1","1-4",76,"LL","NoProg_Prog",NA,1
"A13B52O6OQBPO",16,"deck4","deck2","2-4",76,"LM","Prog_NoProg",0,1
"A13B52O6OQBPO",17,"deck6","deck5","5-6",82,"MH","Prog_Prog",0,1
"A13B52O6OQBPO",18,"deck5","deck4","4-5",82,"LM","Prog_Prog",0,1
"A13B52O6OQBPO",19,"deck1","deck2","1-2",76,"LM","NoProg_NoProg",0,0
"A13B52O6OQBPO",20,"deck4","deck6","4-6",76,"LH","Prog_Prog",0,1
"A13B52O6OQBPO",21,"deck2","deck5","2-5",82,"MM","NoProg_Prog",NA,1
"A13B52O6OQBPO",22,"deck5","deck3","3-5",76,"MH","Prog_NoProg",0,1
"A13B52O6OQBPO",23,"deck2","deck3","2-3",82,"MH","NoProg_NoProg",1,0
"A13B52O6OQBPO",24,"deck6","deck3","3-6",76,"HH","NoProg_Prog",NA,1
"A13B52O6OQBPO",25,"deck1","deck2","1-2",76,"LM","NoProg_NoProg",0,0
"A13B52O6OQBPO",26,"deck4","deck5","4-5",82,"LM","Prog_Prog",1,1
"A13B52O6OQBPO",27,"deck6","deck4","4-6",82,"LH","Prog_Prog",0,1
"A13B52O6OQBPO",28,"deck3","deck1","1-3",82,"LH","NoProg_NoProg",0,0
"A13B52O6OQBPO",29,"deck2","deck4","2-4",82,"LM","Prog_NoProg",0,1
"A13B52O6OQBPO",30,"deck2","deck6","2-6",76,"MH","NoProg_Prog",0,0
"A13B52O6OQBPO",31,"deck6","deck2","2-6",76,"MH","NoProg_Prog",1,1
"A13B52O6OQBPO",32,"deck4","deck6","4-6",76,"LH","Prog_Prog",0,1
"A13B52O6OQBPO",33,"deck3","deck4","3-4",82,"LH","Prog_NoProg",0,1
"A13B52O6OQBPO",34,"deck5","deck6","5-6",76,"MH","Prog_Prog",0,1
"A13B52O6OQBPO",35,"deck1","deck6","1-6",82,"LH","NoProg_Prog",1,1
"A13B52O6OQBPO",36,"deck6","deck4","4-6",82,"LH","Prog_Prog",0,1
"A13B52O6OQBPO",37,"deck5","deck1","1-5",76,"LM","NoProg_Prog",1,1
"A13B52O6OQBPO",38,"deck4","deck3","3-4",76,"LH","Prog_NoProg",0,1
"A13B52O6OQBPO",39,"deck1","deck4","1-4",82,"LL","NoProg_Prog",NA,1
"A13B52O6OQBPO",40,"deck4","deck1","1-4",76,"LL","NoProg_Prog",NA,1
"A13B52O6OQBPO",41,"deck6","deck3","3-6",76,"HH","NoProg_Prog",NA,1
"A13B52O6OQBPO",42,"deck2","deck6","2-6",82,"MH","NoProg_Prog",1,1
"A13B52O6OQBPO",43,"deck3","deck2","2-3",82,"MH","NoProg_NoProg",0,0
"A13B52O6OQBPO",44,"deck3","deck4","3-4",82,"LH","Prog_NoProg",0,1
"A13B52O6OQBPO",45,"deck3","deck5","3-5",82,"MH","Prog_NoProg",0,1
"A13B52O6OQBPO",46,"deck3","deck1","1-3",76,"LH","NoProg_NoProg",1,0
"A13B52O6OQBPO",47,"deck5","deck6","5-6",76,"MH","Prog_Prog",0,1
"A13B52O6OQBPO",48,"deck5","deck2","2-5",76,"MM","NoProg_Prog",NA,1
"A13B52O6OQBPO",49,"deck4","deck2","2-4",76,"LM","Prog_NoProg",0,1
"A13B52O6OQBPO",50,"deck2","deck1","1-2",76,"LM","NoProg_NoProg",1,0
"A13B52O6OQBPO",51,"deck5","deck4","4-5",76,"LM","Prog_Prog",1,1
"A13B52O6OQBPO",52,"deck2","deck1","1-2",76,"LM","NoProg_NoProg",1,0
"A13B52O6OQBPO",53,"deck1","deck5","1-5",76,"LM","NoProg_Prog",0,0
"A13B52O6OQBPO",54,"deck6","deck5","5-6",82,"MH","Prog_Prog",0,1
"A13B52O6OQBPO",55,"deck4","deck3","3-4",76,"LH","Prog_NoProg",0,1
"A13B52O6OQBPO",56,"deck1","deck3","1-3",82,"LH","NoProg_NoProg",1,0
"A13B52O6OQBPO",57,"deck3","deck6","3-6",82,"HH","NoProg_Prog",NA,1
"A13B52O6OQBPO",58,"deck3","deck5","3-5",82,"MH","Prog_NoProg",0,1
"A13B52O6OQBPO",59,"deck2","deck3","2-3",82,"MH","NoProg_NoProg",1,0
"A13B52O6OQBPO",60,"deck6","deck2","2-6",76,"MH","NoProg_Prog",1,1
"A13WTEQ06V3B6D",1,"deck4","deck2","2-4",82,"LM","Prog_NoProg",1,0
"A13WTEQ06V3B6D",2,"deck4","deck6","4-6",82,"LH","Prog_Prog",1,1
"A13WTEQ06V3B6D",3,"deck5","deck2","2-5",76,"MM","NoProg_Prog",NA,1
"A13WTEQ06V3B6D",4,"deck1","deck2","1-2",82,"LM","NoProg_NoProg",1,0
"A13WTEQ06V3B6D",5,"deck4","deck5","4-5",76,"LM","Prog_Prog",0,1
"A13WTEQ06V3B6D",6,"deck4","deck1","1-4",82,"LL","NoProg_Prog",NA,0
